691   - Aaren                          -       TUSI - 6     - 42.00
852   - Aaren                          -        TUP - 1     - 5.00 
476   - Ada                            -       TUSI - 4     - 28.00
987   - Ada                            -       TUSI - 1     - 7.00 
1074  - Addia                          -       TUSI - 1     - 7.00 
952   - Adele                          -        TUP - 5     - 25.00
184   - Adriana                        -       TUSI - 8     - 57.00
624   - Adriana                        -       TUSI - 8     - 57.00
665   - Adriana                        -       TUSI - 7     - 50.00
270   - Adriana                        -       TUSI - 2     - 14.00
174   - Aeriela                        -       TUSI - 8     - 57.00
397   - Agathe                         -        TUP - 8     - 40.00
597   - Aigneis                        -        TUP - 2     - 10.00
779   - Aigneis                        -        TUP - 6     - 30.00
922   - Aili                           -        TUP - 4     - 20.00
1049  - Aimil                          -        TUP - 5     - 25.00
865   - Aimil                          -        TUP - 6     - 30.00
481   - Alameda                        -       TUSI - 5     - 35.00
881   - Albertina                      -        TUP - 1     - 5.00 
943   - Alejandra                      -       TUSI - 5     - 35.00
370   - Alexine                        -       TUSI - 6     - 42.00
871   - Alexine                        -       TUSI - 8     - 57.00
743   - Alexine                        -        TUP - 1     - 5.00 
1078  - Alia                           -       TUSI - 7     - 50.00
262   - Alisha                         -        TUP - 1     - 5.00 
707   - Alisha                         -       TUSI - 2     - 14.00
622   - Alisha                         -        TUP - 6     - 30.00
525   - Alleen                         -       TUSI - 7     - 50.00
731   - Alleen                         -        TUP - 4     - 20.00
367   - Alleen                         -        TUP - 2     - 10.00
529   - Allis                          -        TUP - 7     - 35.00
218   - Almeta                         -        TUP - 2     - 10.00
365   - Althea                         -       TUSI - 2     - 14.00
509   - Althea                         -        TUP - 4     - 20.00
990   - Alyda                          -        TUP - 4     - 20.00
131   - Alyda                          -        TUP - 4     - 20.00
164   - Alyssa                         -        TUP - 3     - 15.00
472   - Alyssa                         -        TUP - 6     - 30.00
485   - Alyssa                         -        TUP - 6     - 30.00
876   - Amalie                         -        TUP - 1     - 5.00 
635   - Amalie                         -        TUP - 5     - 25.00
947   - Amalie                         -       TUSI - 6     - 42.00
916   - Amara                          -        TUP - 8     - 40.00
1035  - Amelia                         -        TUP - 2     - 10.00
520   - Amii                           -        TUP - 3     - 15.00
210   - Ana                            -       TUSI - 8     - 57.00
162   - Ana                            -       TUSI - 8     - 57.00
862   - Anallese                       -        TUP - 3     - 15.00
1036  - Andeee                         -       TUSI - 1     - 7.00 
202   - Andree                         -       TUSI - 5     - 35.00
576   - Andree                         -       TUSI - 7     - 50.00
118   - Andree                         -        TUP - 3     - 15.00
320   - Anestassia                     -        TUP - 2     - 10.00
721   - Anestassia                     -        TUP - 5     - 25.00
834   - Anestassia                     -        TUP - 3     - 15.00
653   - Anestassia                     -       TUSI - 3     - 21.00
1027  - Anestassia                     -        TUP - 6     - 30.00
177   - Angela                         -        TUP - 1     - 5.00 
350   - Angelique                      -        TUP - 5     - 25.00
446   - Anica                          -        TUP - 5     - 25.00
180   - Anica                          -        TUP - 6     - 30.00
913   - Ann-Marie                      -        TUP - 7     - 35.00
113   - Annabela                       -       TUSI - 5     - 35.00
896   - Annabela                       -        TUP - 5     - 25.00
1084  - Annaliese                      -        TUP - 4     - 20.00
855   - Annecorinne                    -       TUSI - 1     - 7.00 
645   - Annecorinne                    -        TUP - 2     - 10.00
426   - Annora                         -        TUP - 8     - 40.00
304   - Annora                         -        TUP - 1     - 5.00 
698   - Anthia                         -       TUSI - 1     - 7.00 
564   - Antonietta                     -       TUSI - 1     - 7.00 
920   - Arabel                         -       TUSI - 1     - 7.00 
812   - Ardenia                        -        TUP - 3     - 15.00
899   - Ardenia                        -       TUSI - 6     - 42.00
438   - Ardys                          -        TUP - 2     - 10.00
723   - Ardys                          -       TUSI - 2     - 14.00
573   - Arlena                         -        TUP - 8     - 40.00
165   - Arlina                         -        TUP - 5     - 25.00
626   - Arlina                         -       TUSI - 5     - 35.00
984   - Arlina                         -       TUSI - 8     - 57.00
996   - Aryn                           -        TUP - 2     - 10.00
1015  - Aryn                           -        TUP - 5     - 25.00
836   - Aryn                           -        TUP - 4     - 20.00
156   - Ashlee                         -       TUSI - 4     - 28.00
302   - Ashlee                         -        TUP - 5     - 25.00
567   - Ashlee                         -        TUP - 8     - 40.00
433   - Ashlee                         -       TUSI - 3     - 21.00
